SerialNo,QRText,QRValue
0000001,A2011931789,9938500341364450
0000002,A1179944821,7902868870167200
0000003,A1235166189,3712574261168257
0000004,A1407644410,2170477868407424
0000005,A1173595478,4004519940027667
0000006,A1255691232,3848869322687688
0000007,A2142194028,5273820363871012
0000008,A1814139517,2134621569850694
0000009,A1248042991,8851042748524699
0000010,A1784957196,8211599375273468
0000011,A1839110623,2872505755661480
0000012,A1492402860,5700675165611679
0000013,A2096317051,6032542569723227
0000014,A1100467697,8845543111049664
0000015,A1077712504,4520407059393769
0000016,A1537907035,5431993671628297
0000017,A1751909423,3847047566361340
0000018,A1732787324,9139937221906612
0000019,A1809843251,2551334088038788
0000020,A1784289197,9465889090518260
0000021,A1275937959,5687852155009747
0000022,A1967644770,6615902992979719
0000023,A1162508463,7499514283038447
0000024,A1821292135,3406762378163266
0000025,A1547789052,9170518964282771
0000026,A1673462596,6775980376142144
0000027,A1133323905,7726524044190491
0000028,A1852916962,1259201953645518
0000029,A1113628013,1833920137325683
0000030,A1430368447,7510235841493411
0000031,A1861542082,3447312165666534
0000032,A1882350762,8623742941576910
0000033,A1587000571,3020039679045039
0000034,A1719268872,3944344479324792
0000035,A2002006310,9455814014402851
0000036,A1997011227,2450987499694182
0000037,A1607195313,2069667457753535
0000038,A1151680053,6105682827393649
0000039,A1590670639,5474609954286502
0000040,A1017393672,7698266057819828
0000041,A1709578857,7899107399892782
0000042,A1529691670,9684309599594500
0000043,A1159331067,7375949115467759
0000044,A1289495606,1678143147559407
0000045,A2110472253,5404287647821795
0000046,A1699527684,8830655018033877
0000047,A1500336877,3071405493829325
0000048,A1352296612,8613102764405684
0000049,A1940170013,6567624673416291
0000050,A1487972335,3287719841491330
0000051,A1985438650,5467568753217734
0000052,A1270617586,1076001260452369
0000053,A1885245511,4704481397715043
0000054,A1061305586,7570134050750382
0000055,A2073871594,3491797813915242
0000056,A1129973275,2479953917013951
0000057,A1887028489,9146207066439548
0000058,A1462214380,6212156156268605
0000059,A1688369105,3802253592860044
